Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.2572786297587213e-07,0.3462191788969249,5.530898580091167e-07,2.773644870507771e-07,24,0.4593927773263913,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
3.6910260887384845e-07,0.5444775568275703,4e-07,1.8556730940145994e-07,147,0.2891847113099928,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2.793261638902136e-07,0.44610830619371167,4.6690585151787174e-07,3.735246812142974e-07,376,0.4680061186941354,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2e-07,0.659524908702311,4.6767029828904144e-07,3.0991663857616514e-07,87,0.4949003900432971,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2.2171157426137963e-07,0.32789105726447093,5.71249756252432e-07,4.5699980500194564e-07,260,0.49994711427135297,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
3.9922779830280625e-07,0.4932449753967989,4e-07,2.3251550891093296e-07,59,0.35191662363766385,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2e-07,0.45363157296065004,5.577787803431056e-07,2.710471498582823e-07,143,0.49302981108833227,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
3.0248169280460093e-07,0.7219844551770943,4.6369673294906845e-07,3.7095738635925476e-07,419,0.7606399498872807,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2e-07,0.435746154776289,5.995134450272885e-07,3.545732740050374e-07,99,0.49998000911178686,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
3.628191897186528e-07,0.6413174998295201,5.283634923131229e-07,2.3165124538677123e-07,140,0.4325032608113107,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
3.7000663042079863e-07,0.2691598486266483,5.789653068454409e-07,3.946917932086821e-07,116,0.49467761460565723,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
2.811680419982679e-07,0.68723785737868,6e-07,2.0728650721168548e-07,98,0.4728592482456058,1,reflection_band,1460.0,5,20,0.5,0.2,0.3
