Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.659936662692042e-07,0.2505763815970424,5.614629247577809e-07,258,1.8584068563740598e-07,11,2.5934800979763657,-1.8036987969091187,4,0.39413217154435004,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2366299248664746e-07,0.549588365677791,5.625981041781863e-07,435,1.8146987642351284e-07,11,2.7251172522222054,0.7062725488802615,7,0.34945464423601913,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.891548488663953e-07,0.3027720353416843,4.162425213388609e-07,187,1.0721685403133964e-07,12,0.4635697346725247,-2.409539631534541,4,0.4182038738179199,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.148748951389359e-07,0.44399389632840075,4.597668013101703e-07,105,2.0648613501075597e-07,1,1.1860640996299536,1.752854552300734,0,0.43725390375815065,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.0936022058646403e-07,0.7990654742430329,4.5123578036001616e-07,197,1.6193873890087863e-07,11,2.1230130624257093,-1.1285931324937226,1,0.11734109172619797,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4684944377763846e-07,0.4864958713541271,5.877065314617711e-07,439,1.6437009346078e-07,4,1.971646117961719,-1.5289295498876982,5,0.4821258538174024,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.2840318125731104e-07,0.332682315378053,5.937664312608071e-07,431,3.061275762859723e-07,14,1.3062779603430204,-2.5544943701726446,0,0.4909477569163399,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.333539284681646e-07,0.43792289400318635,5.166610662397657e-07,97,2.82182049845414e-07,1,0.8834916795429244,1.558766583538103,0,0.4856549919704464,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.772867506299448e-07,0.4957690069055849,5.717771152936346e-07,93,2.2834232836183823e-07,1,0.8401738583404129,1.7652436224155266,0,0.437182949376684,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0481206061107358e-07,0.6134901170806264,4.470872453482186e-07,446,2.4613249575017456e-07,14,1.4680658425687523,2.275948375669753,4,0.4762926179498513,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.4992733342051505,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,1.523908858464822,-1.1991391748836415,5,0.49878256062122733,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
