Lambda,DC,w,height,Fitness,generation
1.80399144509871e-07,0.698009843538795,6.765993526198941e-07,2.008672995670693e-07,0.0,1
4.089244030485663e-07,0.26656506808145974,4.1465571738711016e-07,1.8804421396984242e-07,0.0,1
1.7092426417198322e-07,0.1,3e-07,1.543544384355946e-07,0.0,1
1.9266092636511716e-07,0.1,3e-07,1.5e-07,0.0,1
1.4235008328385242e-07,0.1,3e-07,1.5e-07,0.0,1
2.0918780448955734e-07,0.1,3e-07,2.985160491591547e-07,0.275542917228457,1
1.596131082116744e-07,0.1,3e-07,2.196269338510319e-07,0.0,1
1.0256637291871244e-07,0.1,3e-07,3e-07,0.0,1
2.0214970280304438e-07,0.1,3e-07,3e-07,0.0,1
4.208031926022814e-07,0.8732927611189151,4.27739232184236e-07,2.1239545804422143e-07,0.0,1
1.6384477133033254e-07,0.1,3e-07,2.8178380350006734e-07,0.0,1
3.8533952751983377e-07,0.8614570305573526,6.729506042995099e-07,2.1848999427790688e-07,0.0,1
3.749503165752074e-07,0.4322653774381896,6.649964699903742e-07,2.6504617615965905e-07,0.0,1
2.061866612490863e-07,0.1,3e-07,1.8685303595807183e-07,0.0,1
4.848850462892414e-07,0.6153774164882186,6.355865442961375e-07,2.1366318438874617e-07,0.0,1
1e-07,0.1,3e-07,2.3056637717939599e-07,0.036681117091093715,1
1e-07,0.1,3e-07,2.449452247067023e-07,0.032422740336452344,1
5.881040499327546e-07,0.23950348330336954,6.762691726875318e-07,1.7591261451414116e-07,8.61714772749269,1
2.5786197776885936e-07,0.6544675607256875,5.680950251170301e-07,1.5226414416319854e-07,0.0,1
5.668707198386668e-07,0.46753884529098655,6.130658085089526e-07,2.2506733191708919e-07,68.37005834194119,1
1.1473239706880566e-07,0.1,3e-07,3e-07,0.0,1
2.3422974699542638e-07,0.8618784249868487,3.6725115896373315e-07,2.5614089671425956e-07,0.606588720694934,1
3.777007951697686e-07,0.8554624446203326,5.384584799700396e-07,2.6868568335438124e-07,0.2872776863038328,1
4.812461794990594e-07,0.2628067829886809,3.7651447129991583e-07,1.5382590905132533e-07,0.0,1
1.1883589731983153e-07,0.3582403088142456,3.696370848528255e-07,2.0405242885695617e-07,0.0,1
1.7833619323565415e-07,0.1,3e-07,2.0295317136898408e-07,0.0,1
1.542846863090841e-07,0.1,3e-07,2.994055035186959e-07,0.0,1
4.5675902057629624e-07,0.7550457397757268,5.72471358869462e-07,2.3179463988035618e-07,1.0069517312381517,1
1e-07,0.1,3e-07,2.506067167041803e-07,0.03316486524026328,1
4.1870172119502855e-07,0.23889019794362484,6.690804852961787e-07,2.1636239052018157e-07,4.39047655562314,1
