Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy
3.2171533655193553e-07,0.41494746920191894,6e-07,1.5111114927686192e-07,133,0.23254348683379664,1,reflection_band
4e-07,0.41213746238794274,6e-07,2.2255465974354805e-07,84,0.36133473502376573,1,reflection_band
2.3695871390206655e-07,0.4604561674455713,5.581861889626888e-07,1.417976828340876e-07,77,0.24661335064918846,1,reflection_band
4e-07,0.4389236987261311,5.221726461954948e-07,3.619354136022022e-07,88,0.2909042424752269,1,reflection_band
3.8843212668080313e-07,0.5335102623671111,5.517592834219965e-07,1.7605309148067895e-07,419,0.2202538792861461,1,reflection_band
2.0522507057559134e-07,0.6036442447142795,4.174395304757439e-07,2.7516338977896887e-07,200,0.29224377783416045,1,reflection_band
2e-07,0.6459783004644688,6e-07,3.644285982846429e-07,133,0.2999928924227718,1,reflection_band
2.766843924624837e-07,0.5108906820956922,6e-07,2.0756135079884838e-07,118,0.27425352472571324,1,reflection_band
2.3193942734611538e-07,0.6339673939828968,4e-07,3.2e-07,127,0.1256057429492795,1,reflection_band
2.2852101349891782e-07,0.5872911491434414,5.693517102972823e-07,3.5623700331508715e-07,149,0.29997492187987523,1,reflection_band
3.11548929795427e-07,0.5006151385498954,5.530526728390093e-07,2.2951050956298626e-07,49,0.21005453375099695,1,reflection_band
2e-07,0.31207361160179403,4e-07,2.7309541065553103e-07,92,0.11161474510933969,1,reflection_band
2.706292101903229e-07,0.7,6e-07,1.6811410068973018e-07,110,0.2711525681842966,1,reflection_band
3.2674786715391073e-07,0.7,4.7172496422236955e-07,2.012113721953644e-07,101,0.28947461865568624,1,reflection_band
3.6212265392772713e-07,0.3360861612771684,5.45333763109323e-07,1.5709856028553133e-07,81,0.1948005401510446,1,reflection_band
2.8607330811774886e-07,0.43816463102838343,4e-07,1.984862648447508e-07,125,0.27588561220008356,1,reflection_band
3.7106519104479076e-07,0.675843432468997,4.040466013023117e-07,3.2323728104184937e-07,390,0.011383957389623852,1,reflection_band
3.078099380385007e-07,0.36305563081135084,4.283150029263713e-07,3.4265200234109707e-07,3,0.2994863955363802,1,reflection_band
2.031777692955181e-07,0.6030763132629458,5.846570224732539e-07,3.4772722783906825e-07,486,0.29999319259590707,1,reflection_band
2.432533070446262e-07,0.33363191949014526,4.17034439668983e-07,3.3362755173518644e-07,370,0.2994510927655575,1,reflection_band
3.263225176832516e-07,0.5325857215862688,4.7196962730228375e-07,2.769446029159149e-07,483,0.7826087304006666,1,reflection_band
3.306619020299683e-07,0.5537084556081722,4.5850442205506787e-07,1.1680262061507004e-07,27,0.250703127247332,1,reflection_band
