Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.651408402148119e-07,0.3967476033200061,6e-07,3.0000755737130635e-07,122,0.2562992725965803,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5192284348069356e-07,0.30854188326889254,4.001562771429114e-07,3.2012502171432913e-07,62,0.24522215427527408,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.695007489247406e-07,0.5115095261313634,4.200816931499984e-07,1.195097143569926e-07,337,0.2971833152797021,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3055901773764066e-07,0.4295867003958404,5.676400679186274e-07,3.8532815496148287e-07,223,0.2939051323605244,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.1625598371757515e-07,0.6456575935312325,4.266604032342874e-07,2.3817527442709758e-07,245,0.10123122516464805,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.651408402148119e-07,0.6540128584883251,4.847986070364508e-07,1.2625147399171092e-07,330,0.29921876991464613,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.785938794462955e-07,0.6801397042850671,4.328468063060793e-07,3.4627744504486347e-07,126,0.17539650450642114,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.1625598371757515e-07,0.6456575935312325,5.595269948361757e-07,2.5740642127189754e-07,121,0.22493479151556184,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.73454229568094e-07,0.5605249973751507,4.328468063060793e-07,3.4627744504486347e-07,126,0.007707987500409212,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.694528799601253e-07,0.42617476292675294,4.970054780511167e-07,1.2625147399171092e-07,330,0.099753186152246,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4929540881910866e-07,0.6769185000711235,4.54757614581608e-07,3.501212156968689e-07,81,0.1457907234797023,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.651408402148119e-07,0.4920599465601969,4.2280587778474086e-07,1.2625147399171092e-07,330,0.29965313745618866,1,reflection_band,1485,5,20,0.3,0.3,0.4
2e-07,0.5621715159089276,5.708977713267921e-07,2.3444699494934218e-07,76,0.28126257981485864,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4060979839192034e-07,0.5210189621699525,5.38969101152852e-07,1.5718105233686375e-07,323,0.29693785686049273,1,reflection_band,1485,5,20,0.3,0.3,0.4
2e-07,0.5621715159089276,5.708977713267921e-07,2.3444699494934218e-07,121,0.11037493255378633,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5192284348069356e-07,0.30854188326889254,4.001562771429114e-07,2.2346404595572596e-07,300,0.07622641002976005,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.1625598371757515e-07,0.6456575935312325,4.328468063060793e-07,3.4627744504486347e-07,126,0.11342341687827494,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.73454229568094e-07,0.5605249973751507,5.595269948361757e-07,3.8234542678626337e-07,251,0.26552172915018485,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.844067824856648e-07,0.6662341564955965,5.947561962027099e-07,2.4140797506838457e-07,323,0.2998821012782956,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.3687826157981913e-07,0.3965861390497627,4.779317834828292e-07,3.8234542678626337e-07,251,0.0042220896274275405,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.4929540881910866e-07,0.6769185000711235,6e-07,1.0711429609443049e-07,498,0.08755579676553628,1,reflection_band,1485,5,20,0.3,0.3,0.4
2e-07,0.5621715159089276,5.708977713267921e-07,2.3444699494934218e-07,73,0.2914404461139176,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.695007489247406e-07,0.5115095261313634,6e-07,3.409785801924257e-07,62,0.15655544582585534,1,reflection_band,1485,5,20,0.3,0.3,0.4
3.5192284348069356e-07,0.30854188326889254,5.598212070520132e-07,2.818313767666263e-07,323,0.29862013608291355,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.1625598371757515e-07,0.6456575935312325,4.266604032342874e-07,3.409785801924257e-07,117,0.2737766650528477,1,reflection_band,1485,5,20,0.3,0.3,0.4
2.73454229568094e-07,0.5605249973751507,5.595269948361757e-07,2.5740642127189754e-07,126,0.15296254159349862,1,reflection_band,1485,5,20,0.3,0.3,0.4
