Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.6686684275786826e-07,0.366581699908083,4.6369406667417456e-07,2.13550537492372e-07,99,0.24200135181355587,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2e-07,0.583536789252568,6e-07,2.8240882830231737e-07,59,0.4943468227198545,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.1530197551486185e-07,0.7309487577422054,4e-07,2.4111106219918346e-07,73,0.16888298011098704,1,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4100141414896445e-07,0.8401826222833653,4.966143688645419e-07,3.9729149509163356e-07,414,0.4999315212603614,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
