Lambda,DC,w,w_c,N,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
3.8076673814692926e-07,0.3815255383343792,4.979962256143684e-07,3.9398026073693616e-07,494,0.1992113324443259,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.4568864323541965e-07,0.433217936524102,4.786902545606788e-07,3.473904105458159e-07,399,0.22348154345128682,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
4e-07,0.4529485291610406,5.253531112549824e-07,3.3029607235133013e-07,72,0.06352181318707999,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.8064092280765895e-07,0.3451182042131067,5.387368253419686e-07,3.264117471667677e-07,481,0.1852130945560894,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.506293282616214e-07,0.6411757429848901,6e-07,4.5618351896210343e-07,85,0.19998025366237987,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.611572934014477e-07,0.2530499585139895,4.478530164248173e-07,2.965218321341e-07,17,0.17302933367944898,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
4e-07,0.4330761410513316,5.437193382437424e-07,4.34975470594994e-07,97,0.19999368939684944,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.279959924910744e-07,0.49557418178420043,5.093175516573884e-07,3.791206695665688e-07,89,0.20000243930887754,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.189388045340752e-07,0.3094596223475866,5.333098599544072e-07,2.0838944186314067e-07,479,0.19143806036559596,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.317462355833979e-07,0.17952690676859887,4.630837383862187e-07,3.66576079524677e-07,111,0.15378301466600536,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.030586602766948e-07,0.2829317933005264,5.176478378240533e-07,4.118024029276811e-07,147,0.20590259554402632,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.7444529877038256e-07,0.700973249844134,4e-07,3.2e-07,71,0.001857214369087728,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.2585521082265976e-07,0.6632276384264915,5.239238694971273e-07,3.8225098079158986e-07,403,0.17710643802158363,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.5453335199807736e-07,0.6217777780436059,5.177656026987095e-07,4.1421248215896765e-07,373,0.1993649290580832,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.2587626360134713e-07,0.4216492583713675,4e-07,3.2e-07,106,0.1976843905089272,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.643873827345426e-07,0.5535139643910003,4e-07,3.2e-07,74,0.19370326970025833,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.412294090983232e-07,0.6071739225448864,6e-07,4.8e-07,114,0.19981609237281442,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.9141298981826424e-07,0.5038430344893775,4.7331664009254184e-07,2.540176757384611e-07,37,0.17305927140122523,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
4e-07,0.3490378641463634,6e-07,3.685548610640084e-07,120,0.19992443667367327,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.937636474039025e-07,0.1880092122051461,5.653891844393551e-07,1.8488342147291432e-07,294,0.2190340052713261,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.625345358581269e-07,0.2721187752239896,6e-07,4.8e-07,81,0.19988676292079974,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.2020008482477717e-07,0.29141329796916915,4.6982309638948276e-07,1.0301195191368738e-07,458,0.256669391105376,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.1628977689885047e-07,0.6436614031009298,4e-07,3.2e-07,149,0.8005391231464922,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.0986894658143735e-07,0.699629173008419,5.074720470699164e-07,3.460398163645578e-07,6,0.1999150296050786,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2e-07,0.6193623282178318,4e-07,3.2e-07,124,0.19700091032378278,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.5420108710115623e-07,0.7327069509896292,5.75217207369011e-07,1.0589876819917168e-07,132,0.2115397346968466,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.2052255944322665e-07,0.7981520483100345,4.1921895085471095e-07,3.3537516068376877e-07,118,0.1988124893599265,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
4e-07,0.5413053755111485,4e-07,3.2e-07,114,0.00511925276431646,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.5812424170439415e-07,0.4735899445308668,5.098840975263647e-07,1.7386269350161402e-07,294,0.18606450946701583,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.2064114923069877e-07,0.22955499738481608,5.466546254156149e-07,2.2567071842197066e-07,5,0.22559519963302752,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.713331623167678e-07,0.21286076020257197,4.3982171622193275e-07,3.051134400442061e-07,294,0.19977302934215854,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.2387766050684037e-07,0.7078942050630049,5.724451752095126e-07,1.3892717921179932e-07,14,0.21658746123437206,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.414896693500199e-07,0.25710973411567806,4.725647351483607e-07,3.780517881186886e-07,121,0.13563119197963733,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.0177096762269315e-07,0.3598163490349386,4e-07,3.2e-07,129,0.1985623782897008,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
2.7547947344331007e-07,0.5820041224492373,5.31747917879246e-07,4.2539833430339685e-07,169,0.15165092442865705,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.4376401781857583e-07,0.35081689873888194,4e-07,3.2e-07,87,0.11708561797310905,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.579292080615078e-07,0.527895038757284,4.10458709649195e-07,2.3942119931770217e-07,492,0.1752849503538046,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.9726136577690574e-07,0.552125362909199,6e-07,4.8e-07,116,0.20057099843976753,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.2281735744506507e-07,0.12356017821155013,4.0106823476363777e-07,3.2085458781091026e-07,267,0.010574162728649219,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.278005633883409e-07,0.45396109555558256,4.36893384524653e-07,3.4951470761972243e-07,87,0.023695406773896775,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
3.081615807980932e-07,0.52066361041519,4e-07,3.2e-07,109,0.049030597575638796,1,reflection_band,1460.0,8,20,0.2,0.6,0.2
