target_wavelength_nm,attempted_bandwidth_nm,best_fitness_achieved,results_csv_path,status
1450.0,5,0.9313825239136084,C:\Users\User04\Documents\SWG_Period_Optimization\simulation_results\reflection_band_1450.0nm_5nm_20251118_173805_full_data.csv,Success
1460.0,5,0.8906354770662058,C:\Users\User04\Documents\SWG_Period_Optimization\simulation_results\reflection_band_1460.0nm_5nm_20251119_034931_full_data.csv,Success
1470.0,All,-inf,,Error
1480.0,All,-inf,,Error
1490.0,All,-inf,,Error
1500.0,All,-inf,,Error
1510.0,All,-inf,,Error
1520.0,All,-inf,,Error
1530.0,All,-inf,,Error
1540.0,All,-inf,,Error
1550.0,All,-inf,,Error
